Id,Name,DeveloperName,NamespacePrefix,Description,BusinessProcessId,SobjectType,IsActive,IsPersonType,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp
0123h0000006kXiAAI,Building,Building,sustain_app,"Physical assets that include offices, data centers, and warehouse facilities.",,sustain_app__Asset__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:03.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:03.000+0000,2020-09-09T17:01:03.000+0000
0123h0000006kXjAAI,General,General,sustain_app,"General category for non-building and non-vehicle-sources, which includes Scope 3 travel sources.",,sustain_app__Asset__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:04.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:04.000+0000,2020-09-09T17:01:04.000+0000
0123h0000006kXkAAI,Vehicle,Vehicle,sustain_app,"Automotive assets that include company cars, company trucks, corporate aircraft, and other fleet vehicles.",,sustain_app__Asset__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:05.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:05.000+0000,2020-09-09T17:01:05.000+0000
0123h0000006kXlAAI,Data Center Facility,Data_Center_Facility,sustain_app,Report total emissions for data centers and other facilities dominated by IT infrastructure (Scope 1 and 2),,sustain_app__ConsumptionReport__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:05.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kXmAAI,Commercial Building,Real_Estate_Facility,sustain_app,Report total emissions for commercial buildings (Scope 1 and 2),,sustain_app__ConsumptionReport__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:06.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kXnAAI,Travel,Travel,sustain_app,Report total emissions for business travel sources (Scope 3),,sustain_app__ConsumptionReport__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:06.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kXoAAI,Vehicles,Vehicles,sustain_app,"Report total emissions for organization-owned and/or operated vehicles, including aircraft (Scope 1)",,sustain_app__ConsumptionReport__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:06.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kXpAAI,CBECS,CBECS,sustain_app,Commercial Buildings Energy Consumption Survey (CBECS) data for U.S. buildings only,,sustain_app__EmissionFactorOther__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:06.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:06.000+0000,2020-09-09T17:01:06.000+0000
0123h0000006kXqAAI,Conversion Factors,Conversion_Factors,sustain_app,Conversion factors and global warming potential (GWP) values,,sustain_app__EmissionFactorOther__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:07.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:07.000+0000,2020-09-09T17:01:07.000+0000
0123h0000006kXrAAI,Mobile Fuels,Mobile_Fuels,sustain_app,,,sustain_app__EmissionFactorOther__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:07.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:07.000+0000,2020-09-09T17:01:07.000+0000
