Id,Name,DeveloperName,NamespacePrefix,Description,BusinessProcessId,SobjectType,IsActive,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp
01254000002W7DWAA0,Building,Building,sustain_app,"Physical assets that include offices, data centers, and warehouse facilities.",,sustain_app__Asset__c,1,00554000006CnqaAAC,2020-11-05T19:52:00.000+0000,00554000006CnqaAAC,2020-11-05T19:52:00.000+0000,2020-11-05T19:52:00.000+0000
01254000002W7DXAA0,General,General,sustain_app,"General category for non-building and non-vehicle-sources, which includes Scope 3 travel sources.",,sustain_app__Asset__c,1,00554000006CnqaAAC,2020-11-05T19:52:01.000+0000,00554000006CnqaAAC,2020-11-05T19:52:01.000+0000,2020-11-05T19:52:01.000+0000
01254000002W7DYAA0,Vehicle,Vehicle,sustain_app,"Automotive assets that include company cars, company trucks, corporate aircraft, and other fleet vehicles.",,sustain_app__Asset__c,1,00554000006CnqaAAC,2020-11-05T19:52:01.000+0000,00554000006CnqaAAC,2020-11-05T19:52:01.000+0000,2020-11-05T19:52:01.000+0000
01254000002W7DZAA0,Data Center Facility,Data_Center_Facility,sustain_app,Report total emissions for data centers and other facilities dominated by IT infrastructure (Scope 1 and 2),,sustain_app__ConsumptionReport__c,1,00554000006CnqaAAC,2020-11-05T19:52:02.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DaAAK,Commercial Building,Real_Estate_Facility,sustain_app,Report total emissions for commercial buildings (Scope 1 and 2),,sustain_app__ConsumptionReport__c,1,00554000006CnqaAAC,2020-11-05T19:52:02.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DbAAK,Travel,Travel,sustain_app,Report total emissions for business travel sources (Scope 3),,sustain_app__ConsumptionReport__c,1,00554000006CnqaAAC,2020-11-05T19:52:02.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DcAAK,Vehicles,Vehicles,sustain_app,"Report total emissions for organization-owned and/or operated vehicles, including aircraft (Scope 1)",,sustain_app__ConsumptionReport__c,1,00554000006CnqaAAC,2020-11-05T19:52:03.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DdAAK,CBECS,CBECS,sustain_app,Commercial Buildings Energy Consumption Survey (CBECS) data for U.S. buildings only,,sustain_app__EmissionFactorOther__c,1,00554000006CnqaAAC,2020-11-05T19:52:03.000+0000,00554000006CnqaAAC,2020-11-05T19:52:03.000+0000,2020-11-05T19:52:03.000+0000
01254000002W7DeAAK,Conversion Factors,Conversion_Factors,sustain_app,Conversion factors and global warming potential (GWP) values,,sustain_app__EmissionFactorOther__c,1,00554000006CnqaAAC,2020-11-05T19:52:03.000+0000,00554000006CnqaAAC,2020-11-05T19:52:03.000+0000,2020-11-05T19:52:03.000+0000
01254000002W7DfAAK,Mobile Fuels,Mobile_Fuels,sustain_app,,,sustain_app__EmissionFactorOther__c,1,00554000006CnqaAAC,2020-11-05T19:52:03.000+0000,00554000006CnqaAAC,2020-11-05T19:52:03.000+0000,2020-11-05T19:52:03.000+0000
01254000002W7DgAAK,Refrigerants,Refrigerants,sustain_app,Refrigerant global warming potential (GWP) values,,sustain_app__EmissionFactorOther__c,1,00554000006CnqaAAC,2020-11-05T19:52:04.000+0000,00554000006CnqaAAC,2020-11-05T19:52:04.000+0000,2020-11-05T19:52:04.000+0000
01254000002W7DhAAK,Air Travel,Air_Travel,sustain_app,Emissions factors associated with air travels,,sustain_app__EmissionFactorScope3__c,1,00554000006CnqaAAC,2020-11-05T19:52:04.000+0000,00554000006CnqaAAC,2020-11-05T19:52:04.000+0000,2020-11-05T19:52:04.000+0000
01254000002W7DiAAK,Ground Travel,Ground_Travel,sustain_app,,,sustain_app__EmissionFactorScope3__c,1,00554000006CnqaAAC,2020-11-05T19:52:04.000+0000,00554000006CnqaAAC,2020-11-05T19:52:04.000+0000,2020-11-05T19:52:04.000+0000
01254000002W7DjAAK,Hotel Stay Impact,Hotel,sustain_app,Emission impact as a result of hotel stays.,,sustain_app__EmissionFactorScope3__c,1,00554000006CnqaAAC,2020-11-05T19:52:05.000+0000,00554000006CnqaAAC,2020-11-05T19:52:05.000+0000,2020-11-05T19:52:05.000+0000
01254000002W7DkAAK,Rental Car Fuel Efficiency,Rental_Car_Fuel_Efficiency,sustain_app,Emission factors associated with Rental Cars,,sustain_app__EmissionFactorScope3__c,1,00554000006CnqaAAC,2020-11-05T19:52:05.000+0000,00554000006CnqaAAC,2020-11-05T19:52:05.000+0000,2020-11-05T19:52:05.000+0000
01254000002W7DlAAK,Scope 3 Travel,Travel,sustain_app,Emissions factors associated with business travel activities,,sustain_app__EmissionFactorScope3__c,1,00554000006CnqaAAC,2020-11-05T19:52:05.000+0000,00554000006CnqaAAC,2020-11-05T19:52:05.000+0000,2020-11-05T19:52:05.000+0000
01254000002W7DmAAK,Air Travel,Air_Travel,sustain_app,Use for company business travel on commercial aircraft,,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:05.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
